Year,UNIT_MEASURE,Age,Sex,Value
2013,Number,Total,Both sexes,1171179
2013,Number,0-4,Both sexes,53563
2013,Number,5-9,Both sexes,54042
2013,Number,10-14,Both sexes,58024
2013,Number,15-19,Both sexes,69969
2013,Number,20-24,Both sexes,66641
2013,Number,25-29,Both sexes,77070
2013,Number,30-34,Both sexes,80560
2013,Number,35-39,Both sexes,80521
2013,Number,40-44,Both sexes,75966
2013,Number,45-49,Both sexes,83519
2013,Number,50-54,Both sexes,92008
2013,Number,55-59,Both sexes,94412
2013,Number,60-64,Both sexes,85773
2013,Number,65-69,Both sexes,59309
2013,Number,70-74,Both sexes,56085
2013,Number,75-79,Both sexes,47377
2013,Number,80-84,Both sexes,25370
2013,Number,85-89,Both sexes,8869
2013,Number,90 +,Both sexes,2101
2013,Number,Total,M,572298
2013,Number,0-4,M,27499
2013,Number,5-9,M,27681
2013,Number,10-14,M,29826
2013,Number,15-19,M,36081
2013,Number,20-24,M,34593
2013,Number,25-29,M,39298
2013,Number,30-34,M,40877
2013,Number,35-39,M,41253
2013,Number,40-44,M,38815
2013,Number,45-49,M,41755
2013,Number,50-54,M,45161
2013,Number,55-59,M,45750
2013,Number,60-64,M,40723
2013,Number,65-69,M,26840
2013,Number,70-74,M,24039
2013,Number,75-79,M,18940
2013,Number,80-84,M,9573
2013,Number,85-89,M,2977
2013,Number,90 +,M,617
2013,Number,Total,F,598881
2013,Number,0-4,F,26064
2013,Number,5-9,F,26361
2013,Number,10-14,F,28198
2013,Number,15-19,F,33888
2013,Number,20-24,F,32048
2013,Number,25-29,F,37772
2013,Number,30-34,F,39683
2013,Number,35-39,F,39268
2013,Number,40-44,F,37151
2013,Number,45-49,F,41764
2013,Number,50-54,F,46847
2013,Number,55-59,F,48662
2013,Number,60-64,F,45050
2013,Number,65-69,F,32469
2013,Number,70-74,F,32046
2013,Number,75-79,F,28437
2013,Number,80-84,F,15797
2013,Number,85-89,F,5892
2013,Number,90 +,F,1484
2014,Number,Total,Both sexes,1167082
2014,Number,0-4,Both sexes,51846
2014,Number,5-9,Both sexes,54417
2014,Number,10-14,Both sexes,56601
2014,Number,15-19,Both sexes,69432
2014,Number,20-24,Both sexes,65038
2014,Number,25-29,Both sexes,75296
2014,Number,30-34,Both sexes,80722
2014,Number,35-39,Both sexes,80852
2014,Number,40-44,Both sexes,76216
2014,Number,45-49,Both sexes,81515
2014,Number,50-54,Both sexes,89781
2014,Number,55-59,Both sexes,93123
2014,Number,60-64,Both sexes,88482
2014,Number,65-69,Both sexes,64182
2014,Number,70-74,Both sexes,52482
2014,Number,75-79,Both sexes,48465
2014,Number,80-84,Both sexes,26497
2014,Number,85-89,Both sexes,9835
2014,Number,90 +,Both sexes,2300
2014,Number,Total,M,570176
2014,Number,0-4,M,26590
2014,Number,5-9,M,27911
2014,Number,10-14,M,29125
2014,Number,15-19,M,35664
2014,Number,20-24,M,33895
2014,Number,25-29,M,38395
2014,Number,30-34,M,40994
2014,Number,35-39,M,41341
2014,Number,40-44,M,39018
2014,Number,45-49,M,40931
2014,Number,50-54,M,44141
2014,Number,55-59,M,44986
2014,Number,60-64,M,42062
2014,Number,65-69,M,29180
2014,Number,70-74,M,22426
2014,Number,75-79,M,19519
2014,Number,80-84,M,9894
2014,Number,85-89,M,3430
2014,Number,90 +,M,674
2014,Number,Total,F,596906
2014,Number,0-4,F,25256
2014,Number,5-9,F,26506
2014,Number,10-14,F,27476
2014,Number,15-19,F,33768
2014,Number,20-24,F,31143
2014,Number,25-29,F,36901
2014,Number,30-34,F,39728
2014,Number,35-39,F,39511
2014,Number,40-44,F,37198
2014,Number,45-49,F,40584
2014,Number,50-54,F,45640
2014,Number,55-59,F,48137
2014,Number,60-64,F,46420
2014,Number,65-69,F,35002
2014,Number,70-74,F,30056
2014,Number,75-79,F,28946
2014,Number,80-84,F,16603
2014,Number,85-89,F,6405
2014,Number,90 +,F,1626
2015,Number,Total,Both sexes,1162164
2015,Number,0-4,Both sexes,50067
2015,Number,5-9,Both sexes,54755
2015,Number,10-14,Both sexes,55647
2015,Number,15-19,Both sexes,66727
2015,Number,20-24,Both sexes,65603
2015,Number,25-29,Both sexes,73297
2015,Number,30-34,Both sexes,80365
2015,Number,35-39,Both sexes,81003
2015,Number,40-44,Both sexes,77328
2015,Number,45-49,Both sexes,78838
2015,Number,50-54,Both sexes,87925
2015,Number,55-59,Both sexes,91658
2015,Number,60-64,Both sexes,90125
2015,Number,65-69,Both sexes,70039
2015,Number,70-74,Both sexes,48676
2015,Number,75-79,Both sexes,49216
2015,Number,80-84,Both sexes,27692
2015,Number,85-89,Both sexes,10696
2015,Number,90 +,Both sexes,2507
2015,Number,Total,M,567711
2015,Number,0-4,M,25709
2015,Number,5-9,M,28072
2015,Number,10-14,M,28692
2015,Number,15-19,M,34235
2015,Number,20-24,M,34166
2015,Number,25-29,M,37392
2015,Number,30-34,M,40942
2015,Number,35-39,M,41257
2015,Number,40-44,M,39602
2015,Number,45-49,M,39752
2015,Number,50-54,M,43301
2015,Number,55-59,M,44221
2015,Number,60-64,M,42870
2015,Number,65-69,M,31928
2015,Number,70-74,M,20798
2015,Number,75-79,M,19949
