Year,UNIT_MEASURE,Teritory,SEX,AGE,Value
2013,NUMBER,REPUBLIKA SRPSKA,_T,0-4,53563
2013,NUMBER,REPUBLIKA SRPSKA,M,0-4,27499
2013,NUMBER,REPUBLIKA SRPSKA,F,0-4,26064
2013,NUMBER,GRAD BANJA LUKA,_T,0-4,9539
2013,NUMBER,GRAD BANJA LUKA,M,0-4,4844
2013,NUMBER,GRAD BANJA LUKA,F,0-4,4695
2013,NUMBER,BERKOVICI,_T,0-4,91
2013,NUMBER,BERKOVICI,M,0-4,49
2013,NUMBER,BERKOVICI,F,0-4,42
2013,NUMBER,GRAD BIJELJINA,_T,0-4,4963
2013,NUMBER,GRAD BIJELJINA,M,0-4,2590
2013,NUMBER,GRAD BIJELJINA,F,0-4,2373
2013,NUMBER,BILECA,_T,0-4,489
2013,NUMBER,BILECA,M,0-4,258
2013,NUMBER,BILECA,F,0-4,231
2013,NUMBER,BRATUNAC,_T,0-4,888
2013,NUMBER,BRATUNAC,M,0-4,476
2013,NUMBER,BRATUNAC,F,0-4,412
2013,NUMBER,BROD,_T,0-4,718
2013,NUMBER,BROD,M,0-4,377
2013,NUMBER,BROD,F,0-4,341
2013,NUMBER,VISEGRAD,_T,0-4,323
2013,NUMBER,VISEGRAD,M,0-4,153
2013,NUMBER,VISEGRAD,F,0-4,170
2013,NUMBER,VLASENICA,_T,0-4,486
2013,NUMBER,VLASENICA,M,0-4,260
2013,NUMBER,VLASENICA,F,0-4,226
2013,NUMBER,VUKOSAVLJE,_T,0-4,195
2013,NUMBER,VUKOSAVLJE,M,0-4,97
2013,NUMBER,VUKOSAVLJE,F,0-4,98
2013,NUMBER,GACKO,_T,0-4,430
2013,NUMBER,GACKO,M,0-4,210
2013,NUMBER,GACKO,F,0-4,220
2013,NUMBER,GRAD GRADISKA,_T,0-4,2077
2013,NUMBER,GRAD GRADISKA,M,0-4,1047
2013,NUMBER,GRAD GRADISKA,F,0-4,1030
2013,NUMBER,GRAD DERVENTA,_T,0-4,1115
2013,NUMBER,GRAD DERVENTA,M,0-4,551
2013,NUMBER,GRAD DERVENTA,F,0-4,564
2013,NUMBER,GRAD DOBOJ,_T,0-4,3010
2013,NUMBER,GRAD DOBOJ,M,0-4,1528
2013,NUMBER,GRAD DOBOJ,F,0-4,1482
2013,NUMBER,DONJI ZABAR,_T,0-4,126
2013,NUMBER,DONJI ZABAR,M,0-4,60
2013,NUMBER,DONJI ZABAR,F,0-4,66
2013,NUMBER,GRAD ZVORNIK,_T,0-4,2851
2013,NUMBER,GRAD ZVORNIK,M,0-4,1442
2013,NUMBER,GRAD ZVORNIK,F,0-4,1409
2013,NUMBER,ISTOCNI DRVAR,_T,0-4,-
2013,NUMBER,ISTOCNI DRVAR,M,0-4,-
2013,NUMBER,ISTOCNI DRVAR,F,0-4,-
2013,NUMBER,ISTOCNI MOSTAR,_T,0-4,7
2013,NUMBER,ISTOCNI MOSTAR,M,0-4,4
2013,NUMBER,ISTOCNI MOSTAR,F,0-4,3
2013,NUMBER,GRAD ISTOCNO SARAJEVO,_T,0-4,2763
2013,NUMBER,GRAD ISTOCNO SARAJEVO,M,0-4,1404
2013,NUMBER,GRAD ISTOCNO SARAJEVO,F,0-4,1359
2013,NUMBER,ISTOCNA ILIDZA,_T,0-4,650
2013,NUMBER,ISTOCNA ILIDZA,M,0-4,327
2013,NUMBER,ISTOCNA ILIDZA,F,0-4,323
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,0-4,607
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,0-4,296
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,0-4,311
2013,NUMBER,ISTOČNI STARI GRAD,_T,0-4,41
2013,NUMBER,ISTOČNI STARI GRAD,M,0-4,26
2013,NUMBER,ISTOČNI STARI GRAD,F,0-4,15
2013,NUMBER,PALE,_T,0-4,895
2013,NUMBER,PALE,M,0-4,463
2013,NUMBER,PALE,F,0-4,432
2013,NUMBER,SOKOLAC,_T,0-4,508
2013,NUMBER,SOKOLAC,M,0-4,266
2013,NUMBER,SOKOLAC,F,0-4,242
2013,NUMBER,TRNOVO,_T,0-4,62
2013,NUMBER,TRNOVO,M,0-4,26
2013,NUMBER,TRNOVO,F,0-4,36
2013,NUMBER,JEZERO,_T,0-4,39
2013,NUMBER,JEZERO,M,0-4,20
2013,NUMBER,JEZERO,F,0-4,19
2013,NUMBER,KALINOVIK,_T,0-4,50
2013,NUMBER,KALINOVIK,M,0-4,25
2013,NUMBER,KALINOVIK,F,0-4,25
2013,NUMBER,KNEZEVO,_T,0-4,408
2013,NUMBER,KNEZEVO,M,0-4,215
2013,NUMBER,KNEZEVO,F,0-4,193
2013,NUMBER,KOSTAJNICA,_T,0-4,213
2013,NUMBER,KOSTAJNICA,M,0-4,98
2013,NUMBER,KOSTAJNICA,F,0-4,115
2013,NUMBER,KOTOR VAROS,_T,0-4,901
2013,NUMBER,KOTOR VAROS,M,0-4,466
2013,NUMBER,KOTOR VAROS,F,0-4,435
2013,NUMBER,KOZARSKA DUBICA,_T,0-4,774
2013,NUMBER,KOZARSKA DUBICA,M,0-4,389
2013,NUMBER,KOZARSKA DUBICA,F,0-4,385
2013,NUMBER,KRUPA NA UNI,_T,0-4,50
2013,NUMBER,KRUPA NA UNI,M,0-4,26
2013,NUMBER,KRUPA NA UNI,F,0-4,24
2013,NUMBER,KUPRES,_T,0-4,6
2013,NUMBER,KUPRES,M,0-4,5
2013,NUMBER,KUPRES,F,0-4,1
2013,NUMBER,LAKTASI,_T,0-4,1679
2013,NUMBER,LAKTASI,M,0-4,854
2013,NUMBER,LAKTASI,F,0-4,825
2013,NUMBER,LOPARE,_T,0-4,492
2013,NUMBER,LOPARE,M,0-4,244
2013,NUMBER,LOPARE,F,0-4,248
2013,NUMBER,LJUBINJE,_T,0-4,150
2013,NUMBER,LJUBINJE,M,0-4,72
2013,NUMBER,LJUBINJE,F,0-4,78
2013,NUMBER,MILICI,_T,0-4,462
2013,NUMBER,MILICI,M,0-4,227
2013,NUMBER,MILICI,F,0-4,235
2013,NUMBER,MODRICA,_T,0-4,971
2013,NUMBER,MODRICA,M,0-4,499
2013,NUMBER,MODRICA,F,0-4,472
2013,NUMBER,MRKONJIC GRAD,_T,0-4,671
2013,NUMBER,MRKONJIC GRAD,M,0-4,340
