Year,UNIT_MEASURE,Spol,Value
2003,Broj,Oba spola,64
2004,Broj,Oba spola,61
2005,Broj,Oba spola,37
2006,Broj,Oba spola,50
2007,Broj,Oba spola,38
2008,Broj,Oba spola,40
2009,Broj,Oba spola,51
2010,Broj,Oba spola,44
2011,Broj,Oba spola,43
2012,Broj,Oba spola,37
2013,Broj,Oba spola,33
2014,Broj,Oba spola,29
2015,Broj,Oba spola,26
2016,Broj,Oba spola,23
2017,Broj,Oba spola,26
2018,Broj,Oba spola,17
2019,Broj,Oba spola,15
2020,Broj,Oba spola,43
2003,Broj,M,32
2004,Broj,M,43
2005,Broj,M,20
2006,Broj,M,31
2007,Broj,M,18
2008,Broj,M,20
2009,Broj,M,29
2010,Broj,M,20
2011,Broj,M,26
2012,Broj,M,25
2013,Broj,M,21
2014,Broj,M,11
2015,Broj,M,9
2016,Broj,M,17
2017,Broj,M,13
2018,Broj,M,7
2019,Broj,M,7
2020,Broj,M,21
2003,Broj,Ž,32
2004,Broj,Ž,18
2005,Broj,Ž,17
2006,Broj,Ž,19
2007,Broj,Ž,20
2008,Broj,Ž,20
2009,Broj,Ž,22
2010,Broj,Ž,24
2011,Broj,Ž,17
2012,Broj,Ž,12
2013,Broj,Ž,12
2014,Broj,Ž,18
2015,Broj,Ž,17
2016,Broj,Ž,6
2017,Broj,Ž,13
2018,Broj,Ž,10
2019,Broj,Ž,8
2020,Broj,Ž,22
2018,F,Broj,92
2019,F,Broj,88
